text_clean	y
ರಶಮಕ ವಪಸ ಬರ ಹಗಡ	unknown state
ಬರ ಯರ ಪಲಇಗ ಗಮ ನಮ	Mixed feelings
ನಸ ತರಲರ ಸಪರ ಅಕಟಗ ಪರಜವಲ ದವರಜ	not-Kannada
ಬದ ಹದಗ ರಚಸಲ ಹಸದ ಶಸನ ಮರಯಲ ಗಗನದಲ ನಮಮದ ಲಛನ ಯದಧ ಮಡಬಕ ಓದಬರದ ನಕಟಕರ ಮದ ಭಗವದಗತ ಲವದ ಇತನಮ ಫವರಟ ಲನ ಸಪರಬ ಲರಕಸ	Positive
ಸಪರ ಸಪರ ಸಗ	not-Kannada
ಬದ ಗವಡ ಲಫರ ಅವಲ	Negative
ಇಶತ ಬಗ ಯಟಬ ಲ ಮವ ಬತರ ಥಯಟರ ಗ ಏನಕಕ ಹಗತರ ಜನ	Negative
ಹಯಡಸ ಉಪ ಇದ ವನವರತ	Positive
ಡಲಟ ಹದರ ನನ ಡನಲಡ ಮಡ	Negative
ರಶಮಕ ಫಸ ಙಡ ದವರಕಡ ಫಸ ಉರಕಡರತರಯ	Negative
ಸಪರ ಮವ ಸರ ನನ ಥಯಟರ ನನಲ ನಡಡ ಏಡ ನನ ತರಪಥ	Positive
ಅಜಯ ಶಟ ಸರ ಬಡ	Mixed feelings
ಕಚಚ ಸದಪ ಅಣಣನ ಅಭಮನಗಳದ ಕಡಯದ ಆಲ ಬಸಟ ನಚರತರ ಸಷಟ ಅಗದ ಪಕಕ	Positive
419 ಶರಕ ಪಸ	unknown state
ಸಪರ ಜ ಡ ಬಸ	Positive
ಪಕಕ ಅನನ ನವ ಹಲದ ಪಕಕ ನಜ	Positive
ಏನ ಕನನಡ ಅತ ಮತಡಟರ ಗಬಗಲ ನನ ಟಬ ಚನನಗ ಮದದರ ನಮ ಜತ ಟಬ ಚನನಗ ಮದದರ ಏನ ಮದಡಡ	Negative
ಸಪರ ಗರ ಲವ	Positive
ನರಮಪಕರ ನಮಮ ಅಕಟ ನಬರ ಕಡ ನಮಮ ಅಕಟ ಗಗ ಅಮಟ ಅಕಬಕ	Mixed feelings
ಲಕ ಫರಮ ಕಸರಗಡ	unknown state
ತ ತ ತ ತ ತ ಡ ಡ ಡ	unknown state
ಶರಣರಜ ಕರ ದನವದಗಳ	Positive
ಅಜಲ ದವ ಹ	not-Kannada
ಫಲ ವಡಯಸ ಲಕ ಈದರ ಹಕ	unknown state
ಸಪರ ಗರ	Positive
ಕಷಮಸ ದಯ ಟಮ	Mixed feelings
ಲಲ ದರಹಣ ಫಸ ಟಕಗ ಅಬತ ಕವಲಟ	not-Kannada
ತ ಗಡ ನನಬಬ ಗಡಸ	Negative
ಚದನ ಶಟಟ ಟರಲ ವಡಯ ನವ ನಡ ನಗಡಡ ನವ ಗಯರಟ	Positive
ಹಡ ಮತರ	unknown state
ಅರಕಬತವರ ಗರ	Negative
ವರ ಗಡ ಸಗ	not-Kannada
ಉ ಅವಸಮ ಬರ	not-Kannada
ಕಲ ಕದರವ ಬಡವರನಭವಯಲಲ ಅರತವರನಯರಲ ಬಡನಮನನದನದದರಡದ ದನತಕತನನಲಕ ದಕಕನಲ ಬಕವನನಬದಕ ಹಡಡ ಮನವನನಥಲ ಮಲಡ ಕರತನವರತಗರ ಬನನಟ ನತರನಗಲಲ ಮಟನ ಬಜರನಸದದ ಸರಡ ಸಮರಣಪತರದ ಪರಛಯ ಇರವರನ ಬದಕಗ ಐಡ ಘನ ಹಸರನಹಯಡಸ ಉಪ ಇದ ಅನವರತನಹಯಡಸ ಉಪ ಅಗನಯತ ನಹಯಡಸ ಉಪ ಐಡ ವದನತ ನದ ಚರತರ ಸಷಟಸ ಅವತರ	Positive
ಬರ ನನ ಫನ ಥಗದಗದ ಗಲಜ ಆಪ ಇನಸಟಲ ಮದಲಲಅದರ ಯವಡ ರಗತ ಗದತ ಅತರಲಲ ಶರ ಇತ ಡಲಟ ಮದ ಡ	Negative
ಜ ಮರ ಜ ರಗ ಇಸಲ ಸಯಸ ಇದ ಗರ	unknown state
ರಶಮಕ ಮದನ ಡಗರ	Positive
ನಜವ ಈಧ ಚರತರ ಸಸತಸ ಅವತರನ ಬಡ	Positive
ಮಜನಥ ಮತರ ತಕ ಬರ	unknown state
ಮದನ ಕಮರ ಮಸಟರ ಮದನ ಕಮರ ಆಸಕರ ಯನ ನಬಲ ಪರಸ	unknown state
ನವ ಗರಟ ಸರ ಸವಭಮನ ಸರ ಎಲಲ ನಮಮ ಪರಥಯ ಗಲಯರ ಹಗ ಯರ	Positive
ಆಕಟಲಲ ಇದ ಇದ ಸಗ ಏನತರ ಗಳಯರ	Positive
ಗರ ಸಪರ ವಡಯ ತಕ ಗರ	Positive
ಯಕ ಲಟ ಗರ	unknown state
ಜಐ ಬಸ	Positive
ಕಳಳತತರವ ಕಬಬರ ಮಥ ಮಖದವಳ ನಚನನಗ ಬತರ ಸರ	Negative
ಗರವ ಅದ ಗತ5 ಪಬಗ ಅಲಲ	Mixed feelings
ಲ ಟರಲ ಮದತಡಯಲಲ ನನ ಉಸ ಮಡ ಮಬಲ ಯಸವಡ	unknown state
ನಮಮ ಅನನ ಅತ ಬರಥನ ನಡ ಹಡಬಕ ಗರ ಫಸಟ ಗಬಲ ನನ ಮಗ	Negative
ಐ ಸ ಅಶವಥಮ	Mixed feelings
ಏನ ಹಲಡ ಗರ	Positive
ಬರ ತಲಗ ತಮಳ ಮವ ನಡಥರ ಥರ ಮವ ನದ	Mixed feelings
ಬಟಟಸಥಳ ಸ _ಆ	unknown state
ಗಡ ಜಬ ಶವ	unknown state
ಯಸ ಹಗ ಕಕ ಕಡತ ಹಗಟ ಒಳಳ ಸಚ ಮಡದದರ	Positive
ನದ ಪರಥಸರಥ ಚಕಕ ಅನಸಥ ನನ ಗಡ ಸಲಮಗನ	Negative
ಕರನ ಹಸರಲಲ ಹಸಪಟಲ ನಲಲ ನದಥರ ದಧ ಬಗಗ ವವರಸ ವರಸ ಬದ ಮನಶಯರ ಸಯಥರ ಈಲವ ಗಟಥಲಲ ಆದರ ಹಸಪಟಲ ಬಲ ಕಲ ಮನಷಯ ಬಧಕದ ಕಸತವಗಧ	Negative
ಡಸಲಕ ಫರಮ ರಶಮಕ ಫಸ	Negative
ಮಚಲ ದಗರ ಮಡ ಸಲ	not-Kannada
ಥಬ ಚನಗ ಎಡ	Positive
ವರಪರಸದ ಕ ಕ ಲ ರಡ ಮಯಗನ ನನ ಬ ನಮಮಮಮನ ಕರಕದ ಬ ಇಬಬರನ ಹತತ ಇಬಬರಗ ಒಡದ ಡಜನ ಪಪ ದಗರ ನನ ಮಕಲನ ಹತಸ ಕಲಸತನ ಅಮಲ ಬರಬಕದರ ಜ ಸಡಸ ಸಸಟಮ ಟಗಡ ಬ ನನ ಮಡಏಕದರ ನಮಮಮಮ ಮಯ ಖಲಫ ತರ ಕರಚಡ ನನ ಕನನಲಲ ನಡಕಗಟಟ ಇಲವನಮಟ ನನ ಸನ ಲಯನ ತರ ಅರಛಡ ನನ ಕಲಲ ತಡಕಲಕಗಲಲಪ	Negative
ಯಸ ಬರ ಅವಗ ಸಗ ಅಜನಶ ಸರ ವಐಸ ಅಲಲ ಇತತ	unknown state
ಸರಜ ಸರಜ ಸಪರ ಬರದರ	unknown state
ಮಗ ಸಪರ ಸಗ	Positive
ಬಗಳರಗ ಬದದದರ ಅಶವತಥಮ	Negative
ನನ ವಐಸ ಆಡ ಡಯಲಗಸ ಗ ಫಧ ಗರ	Positive
ಮತತರಜ ಮಲಗರ ಕ	not-Kannada
ವಜಯ ಮಲಯ	unknown state
ಕನನಡದಲಲ ಬದಲಲ ಇನನ	Positive
100 ಡಸ ಪಕ	Positive
ಸನಮಗ ಎಲಲರ ಪರತಸಹಸ ಇತಹ ಅತಯತತಮ ಚತರವನನ ಬಳಸ	Positive
ಸದದ ಮಡವ ಮದಕ ಹಡ ಕಳರ ಎಲಲರ ಹಯಡಸ ಉಪ	Mixed feelings
ತಬ ಚನನಗದ ಹನನಲ ಸಗತಕಕ ಮರ ಹದ	Positive
ಲವ ಫರಮ ಹದ ಲವರ	Positive
1ಸಟ ರಕ ರಜ	unknown state
13ಕ ಡಸಲಕಸ ಫರಮ ಜಲಸ ಬಲವಡ ಫಸ	Negative
ಸಪರ ಸಗ	Positive
ವವ ಸರ ನಮಮ ಮತ ನರಕಕ ನರ ಸತಯ ಸಪರ ಸರ	Positive
ಔರ ಕನನಡ ಸಗ ಓ 1ಟರಡಗ ಅಗನ	Positive
ನಮಮ ದಶದ ರಜಕರಣಗಳ ಚಲಲರಗಳ ನಜಕಕ ಸತಯ	Positive
ಟಕತಕ ಇಡ ನಮ ಪರಸನಲ ಇನಫರಮತನ ಚನ ಅವರಜ ಗಟಟಗಟಡ ಇಡಲಲ ಅವರಜ ಗಟಟಗಇಲಲ ಬವಕ ಗಲ ಬನ ಮಡದರ ಅವರಜ ಮಡಕ ಬರ ಕಲಸ ಇರಲವಲಲ ಅಢಕ ಅದತದರಆಡ ಯರ ಯರ ಟಕತಕ ಬನ ಮದಬರಡ ಅತ ಹಲಟರ ವಡಯಸ ನದಡನ ಮಡಲ ಸಟಪ ಮಡಬಕ	Negative
ಲಕ ವರ ದಫರಟ	unknown state
ನನಗ ಅನಸತತ ವಡಯ ವನನ ರಶಮಯ ಮದಣಣ ಫಯನಸ ಡಸಲಕ ಮಡರಬಹದ	Negative
ಗರ ನಗ ನನ ದಡಡ ಫಣ	Positive
ಬಶ ಯವಡ	unknown state
ಆಲ ಬಸಟ ನಖಲ ಕಮರಸವಮ ಅಭಮನಗಳ ಕಡಯದ ಚತರ ಶತದನತಸವ ಆಚರಸಲ ಎದ ಹರಸತತವ	Positive
ಇದ ಚರತರ ಸಷಟಸ ಅವತರ	Positive
ಓಬಬ ಅಮನ ಹತರ ನಗ ಯವ ಮಗ ಇಸತ ಅತ ಕಲಧರ ಸಡಲವಡ ಫಣ	Negative
ಚನ ನನ ಶತ	Negative
ವಊಸ ನದ ಗತತಗತತ ಪರಮಶನ ಸರ ಆಗಲಲ ಅತ ಪನ ಇಡಯ ಮವ ಇದ ಪಲಸ ಇನನ ಪರಮಶನ ಬಕ ಸಕಗತ ಇಲಲ	Negative
ಸಲ ಪಯಸನ ಸಗ ಅನನರ ಲಕ ಮದ	Mixed feelings
ಸಪರ ಮ ಫವರತ ಥಕ ಠಕ ಸ ಮಚ ಜನಪಧ ಹಶಯ ಹಕಧಕ ಶಭ ಬಲಲಗರ ಅವರಗ ಕಟ ಕಟ ಓಧನಗಲಲ ಪಲಸ ಇನಧ ನಚನ ಮಲಯ ಏಧ ಅಲಲ ಅಧನ ಹಕಪ ಪಲಸ	Positive
ಹವಧ ನಮ ಮನಗ ಬಧಧ ಅಸಶವತಮ	unknown state
ಸಪರ ಸಮಣಣ ಮಚಮಡ ಇತಹ ಒಳಳಯ ಕಲಸ ಇನನ ಮದವರಯಲ ಶಕರ ಸರ ನಮಮ ನರವದ ಮತತ ವಸತವವದ ಮತಗ	Positive
ಸಪರಯ ಮನಜಞ ನಹ	not-Kannada
ಶರನಪಪ ಹಸರ ঐযয	not-Kannada
ಸಮಯ ಕಲಕರನ ಭರಷಟಚರ ಹಗದ ಕಠಣ ಕನನಗಳದಅದಕಕ ರಜಕಯ ಇಚಚಶಕತ ಬಕ ಕಳಳ ಕಗರಸ ನಮಮ ದಶವನನ ಹಳ ಮಡತ	Negative
ಸಪರ ಸಪರ ಸಪರ ಸಪರ ಸಪರ ಸಗ	Positive
ಜಸಟ ಫನ	unknown state
ಕನನಡ ಚತರರಗದ ಜನಯರ ಶಕರ ನಗ ರಕಷತ ಶಟಟ ಕನನಡ ಚತರರಗವನನ ಉನನತ ಮಟಟಕಕ ವಯತರ	Positive
ಸರ ಕರನ ಎಫಕಟ ಮಗದಮಲ ರರಲಸ ಮದಕಗಲವ	Mixed feelings
ಅನನ ಸಕಥ ಅಗ ಮಥದದದರ	Positive
ನರರ ಕಟ ಸರಯ ಕನನಡ ಫಲಮ ಇಡಸಟರ ಏತ ಕಲವದರ ಬಲಸಲ ಸದಯವಲವ ಎತ ನಚಕ ವಶಯ ಅಲವ	Negative
ಅತ ಸದರವದ ಹಸಯ ಚತಕ	Positive
ಏನ ಗರ ನನ ಲನಸ ಗಲ ಸಪರ ಅಗ ಹಲದಯ ಬಡ	Positive
ಟರಲ ಮನಸಟರ_ಕನನಡ ನದನ ಅತ ಬಲಗರನ ಫಣ ಇದದನ ನಡ ಸಲಮಗನಗ ಬಯ ಟಕ ಉರಕದ ಹಟರ ಹಡಸಮಕಲಲ 1 ಇಯರ 3 ಬಲಕಬಸಟರ ಡಬಸ	Negative
ಗರ ಬನನಟ ನತರಹಯಡಸ ಉಪಪ	not-Kannada
ನನ ಶರಮನ ನರಯಣ	unknown state
ಗಮ ಯವಡ ಬರ	Mixed feelings
ಚನನಗ ಉಗಡ ಬರ	unknown state
ಅಶವನ ಪ ದಗರ ದವರಕಡ	Positive
ಸಪರ ಸಗ ಗರ	unknown state
ಹದ ಹಲಯ ಹಯಡಸ ಅಪ	Mixed feelings
ಸಜತ ಮಣಪಲ ಅಲಲ ಉದದನ ಖಲಜ ದಹಲ ಸಲಥನ ಆವ ಏನನ ಇದದನ	Mixed feelings
ಅರ ಕರಕಟ ಬರ	not-Kannada
ಏನ ಹಲಧ ಗರ	Positive
ತಬ ಹರತವದ ಕಣತರಸವ ಪರಮಣಕ ಪರಯತನ ಇತಹ ಇನನ ಹಚಚನ ಕರಯ ಕರಮಗಳ ಮಡಬರವ ಮಲಕ ಪರಸಥತಯನನ ಸಮರಥವಗ ಸಧರಸಲ ಸರಯಸ ಕರಯ ತತಪರ ಮನಸಥತಯನನ ತರವ ನಟಟನಲಲ ಸತತ ಪರಯತನ ತವರ ವಗಬಕ ನಮಮ ಪರಯತನ ಶಲಘನಯಯಗಶ ಭಟ ಬಗಳರ	Positive
ಪಕಕ ಇದ ಚರತರ ಸಷಠ ಸ ಅವತರ	Positive
ಪಕಕ ಎಜನರಗ ಮಡ ಬರ ಸಗ	Positive
ಲ ಗಜಲಡಸ ನವ ಸಪಪರಟ ಮದಡ ಯವ ಸನಮಗಲ ಸಕಸ ಅಗಲಲ ಯಕರ ಸಮನ ಬಲಡಪ ಸಪಲ ಎಕಸಮಪಲ ಆಡರ ಅಮರ ಮವಏನ ಫಲ ಮದದರಲ ಅಬರಶ ಗನಥ ನಮ ಬಕತಠಮಧಯ ನವ ಹಗ ಹಳ ಮಡದರಲ	Negative
ಭರತ ಚಲನಚತರ ದಲಲ ಹಸ ಚರತರ ಸಷಟಸಲ ರಡ	Positive
ಬಗಳರ ಗ ಬನನ ಕಲ ಮಡ 9743436877	Positive
ದಡಡಮನ ಮಥ ಐ ಆಮ ಆಲಸ ಇಲಕಲ	not-Kannada
ಸರ ಸಪರ ಸಪಚ	not-Kannada
ಅಲ ಬಸಟ ಫರ ಡ ಬಸ ಫಯನಸ	Positive
15 ಡಸ ಇಡ ಬರ ದಯ ಮವ ಸಟಟಸ ಅಕತಏದನ ಬರ ಅವಸಮ ಮವ ಬರ	Positive
ನವ ತಬ ಸವಭಮನದ ವಯಕತ ಶಭಶಯಗಳ	Positive
ಟಗರ ತಪಪ ಕಲ ಟಬ ಸತಷ ಅಯತ ಮಟ ಓಲಡ ಇಸ ಗಲಡ ಅತರಲ ನಜ ಅಯತ	Positive
ಅಭಲಶ ಗವಡ ನನ ಅನಬಡ ಬಡಲ	Mixed feelings
ಸಪರ ಸಗ ತಬ ಇಷಟ ಆಯತ ಲವ ರಕಷತ ಭಯ	Positive
ಈವನ ಐ ಫಲಟ ಸಮ	unknown state
207 ರಮಡಸ ಐಮ ವಲಲನ ಸಗ	Mixed feelings
ಸಪರ ಬರ	not-Kannada
ಸಪರ ಸಗ	Positive
ಸಪರ ಬರ	not-Kannada
ಸಪರ ಸಪರ ಸಪರ ಸಪರ ಸಪರ ಸಪರ ಸಪರ ಗರ	Positive
ಸಪರ ಸಗ ಗರ	Positive
ಲ ನಮಮಉನ ಥಲಲಗ ನಯ ತನನ ಸಬರಗ ಹತತಡ ಮದರಮಗನ	Negative
ದಡಡ ದಡಡ ನಟರಲಲ ಎಲಡರ ತ ಅರ ರಯಲ ಗರಟ ಸರ	Mixed feelings
ರಶಮಕ ಉರಕ ರಶಮಕ ಹಟರಸ ಲಕ ಹರರಕಷತ ಶತ	Negative
ಚನನಗಡ ಎನ ಸಸಪನಸ ಐಡ	Positive
ಸಪರ ಶಟಟರ	not-Kannada
ಬವರಸಗಲಗ ಅರಥ ಆಗರಬಕ ಬರ ಚನಗ ಉಗಧದರ	Negative
ಪಕಕ ಆಡ ಕಗಫ ಚಪಟರ ಇಇ ಇದಕಕತ ಇನನ ದಡಡ ರಜಯ ಕಟಟತತ ವತಗ ಫರ ಆಸನ ಕಗಫ ಇಇ	Positive
ಯವ ವಡಗ ಕಮಮ ಇಲಲ ನಮಮ ಸಡಲ ವಡ	Positive
ಫಲ ಇಸ ಪಕ ಬಲಕಬಸಟರ	Positive
ಚದನ ಶಟಟ ಟರಲ ವಡಯ ನವ ನಡ ನಗಡಡ ನವ ಗಯರಟ	Positive
ಸಪರ ಸಪರ ಸಪರ	Positive
ಸಪರ ಸಗ ಲವ ಉ	not-Kannada
ಹಸ ಚರತರಯ ಅವತರ ಇತಹಸ ಆಗಲ ನರಯಣ ಕನನಡ ಸನಮಭಮನ	Positive
ಓಲ ಮಗ ಬರ ಸಕಥ ಅಗ ಹಲದರ	Positive
ಅಣಣ ಏನ ಸಪರಗ ಹಳದದರ ಇದ ಕನನಡಗರ ಟಕ ಟಕ ನಮಮ ದಶದದ ಕಳಚಕಡ ಹದರ ಸಕ ಅವಗ ಚನಕಕ ಬದದ ಬರದ ಟಕ ಟಕ ಮಡವರಗ ಬದದ ಕಲಸಬಕ	Positive
ಕದವಫಸ67ತರ 9	not-Kannada
ಮದ ನಡ ಕಲಯಬಕ ಬರ ಬಯ ಮತನಲಲ ಹಳ ಉಪಯಗ ಇಲಲ ಚನ ತರ ಮಡ ತರಸ ರಫತ ಮಡವ ಜಡಪ ನಮಮ ಇಡ ದಶದಲಲ ಇಲಲ ಮದ ನನಗ ಮತತ ನನನ ಸಘಗಳಗ ಬರ ಹದ ಮತತ ಮಸಲ ಅತ ಕಮವದ ಮಡ ನಮಮ ದಶವನನ ಪತಲಕ ನಕದ	Positive
2020 ಇಪತತರಲಲ ಅತಯತತಮ ನರಧರ ಸರಯಗಯ ಇದ	Mixed feelings
ಸತಯಕಕ ದರವದ ವಚರ ಯಕ ಸಳಳ ಹಳತತರ	Negative
ಸಪರ ಸಗ ಶಟ	not-Kannada
ದಶ ಬದಲವಣ ಆಗಬಕ ಸರ	Positive
ಕಷತರಊ ಸಪರ ಇದ ಚರತರ ಸಷಟಸ ಅವತರ	Positive
ಟಕತಕ ಬನ ಒಳಳಯ ಆಯತ	Positive
ಸಪರ ಕತ	unknown state
ಸಪರ ಮವ	not-Kannada
ವಡರಫಲ ಮವ ಓಸಮ	Positive
ಸಪರ ಸಗ	Positive
ಐ ಲಕ ಥಸ	Positive
ಸಪರ ಗರ	unknown state
ಸಪರ ಟಗರ ತಪಪ	Positive
ಸಪರ ಅನನ	Positive
ನದ ಪರಥಸರಥ ಉಮಮ ನನ ತಲಲಗ ನನ ರಸ	Negative
325ಕ ಲಕಸ	not-Kannada
ವರಸಟ ರಜಕಯಬಸಟ ಪರಜಕಯ	Negative
ರನ ಲಕಷಮ ಮಹದವಲ	unknown state
ನನಗ ಯದ ಮ ಶದ ಕಯಸಟ ಹಡಗಳ ಬಕಗವ	unknown state
ಹ ಸಪರ ಗರ ನನ ವಐಸ ಭಲ ಸಪರ	Positive
ನದ ಪರಥಸರಥ ತನನಲ ಉನನ ಗದ	Negative
ಶಕರ ನಗ ಅಭನಯದ ಸಮಯತ ರಕಷತ ಶಟಟ ಅವರಲಲ ಕಣಬಹದಗದ	Positive
ಅರಜನ ಜನಯ ನಡ ಅಜನಶ ಲಕನಥ ಅತರ ಹಗ ಮಸಕ ಮಡದನನ ಕಲಯರ ನಒಡಯ ಮವ ಗ ಏನ ಮಯಸಕ ಕಟಟದಯ ಸವಮ ತ	Negative
ಗರಟ ವರಕ ಬರ	not-Kannada
ರಶಮಕ ಎಲದದಯಕನರಕಷತ ಶಟ ರಕಜಜ	Positive
ಕಲಸ ಬಕಙಕಲ ಟ 8546903696	unknown state
ವ ಸಪರ ಸಪರ	not-Kannada
ಯರಲಲ ಶವಜ ಸರತಕಲ ನದದರ	unknown state
ಬರ ಯವ ಊರ ನವ	unknown state
ಕನನಡ ಚತರರಗದ ಹಮಮ	Positive
ಎನ ಲರಕಸ ಬರಸದದರ ಗರ ಚದ	Negative
ಸಪರ ಸರ ರಯಲ ಹರ ನವ ನಮಮಡ ನವ ಕಡ ಕಲತಕಲಡಡ	Positive
ನಸ ಬರ ನನ ಯಲಲ ಚನ ಆಪ ಡಲಟ ಮದದನನ	Positive
ನನ ಹವಲ ನನ ಹಚಕ ಯಕ ಆಡರ ನಗ ಉರದರತತ	Negative
ಟರಲ ಮನಸಟರ_ಕನನಡ ಙಡ ಬಬಸ ಬಲಯದನನ ನದ ಉರಕಟದರದಗರ ಫಣ ನಮಮ ಬøಸ ಬಲಯದನನ ನದ ನಮಮ ಗದ ದರಶನ ಉರಕಡಡಡ	Negative
ಸಪರ ಬರ	Positive
247 ಜನ ಡಸಲಕರಸ ರಶಮಕ ಮದಣಣ ಡ ಹರಡ ಫಸ ಇರಬಕ	Negative
ಪವರ ಸಟರ ಫಸ ಲಕ ಮದ	Positive
ಇತ ಮವ ಥಯಟರ ನಲಲ ನಡಲಲ ಅತ ತಬ ಪಶಚತಪ ಆಗತದ	Mixed feelings
ಫಕ ಫಕ ಫಕ ಯಟಬ	Negative
ಕತತಡ ನನಮಕಲ ಮರಯಯ	Negative
ನಜಕಕ ಗರಟ ಪರಸನ	Positive
ಹಡನನ ಪದ ಪದ ಕಳವವರ ಹಗ ನಡವವರ ಯರದರ ಇದದರ	Positive
ಸಪರ ರಸಟ ಅನನ	Positive
ನದ ಪರಥಸರಥ ನನ ಅಮಮನ	Negative
ವವಕ ಗ ಸಡ ಗ ಹಗರ ನಮ	Negative
ಅನನ ಸಮನ ವಡಯ ಮದಧಯ ನಡ	Positive
ರಕಶತ ಶಟ ಇಸ ಸಪರ	not-Kannada
ಕನನಡ ನಮಮ ಮದಲ ಆಧಯಥ ಆಗರಬಕ	Positive
ಸಹತಯ ಅಧಬತ ನಸನಮ 100 ದನವ ಅಧಬತ ನಯಶಸಸ ಕಣಲ	Positive
ಸ ಸದಡಸ ಲಕ 18ಕ ಇನ ಕನನಡನನ ತಲಗ 155ನನ ತಮಳ 188ನನ ಮಲಯಳಮ 134ನಆಸನ	Negative
ನನ ಸಪಪರಟ ನನನ ಗ ಎರಡ ಭ ನಬಟ ನಸ ವಡಯ ಗಡ ಲಕ ಅನನ	Positive
10 ಲ 11 ಪರಮಕ ಕರನ ಬಯ ಬಹನ ಮದ	Positive
ಪಡಯ ಶರ ಕಟಕಟ ಮದ	unknown state
ನಜವಗಯ ಇದ ಚರತರ ಸಷಟಸ ಅವತರ	Positive
ಒಲದನನ ಸವಲಪ ಗರತಸ	Negative
ಸಪರ ಸಗ	not-Kannada
ನಜಕ ಈದ ಆಚರನ	Negative
ಸಪರ ಸರ ಇಯಮ ಲಕ ಥಸ ವಡಯ ಅವಸಮ	Positive
ಕರಳ ಅತ ಹಲಬಡ ಬರ ಕಡ ಜಥ ನದತತ ಅಗ ಹಚಗ ನದತತ ನನ ಸತತ ಮತತಲನ ಎಕಸಮಪಲ ನಲಲ ಹಲಥ ಇದನ ಐ ಹವ ಮನ ಮಲಲ ಫರನಡಸ ಸ	Positive
ಅವಸಮ ಸಗ	Positive
ಪರಜವಲ ದವರಜ ಲಕ ಸ ಹಡಸಮ ಇನ ಅನನತ ವಸ ನಸತ ಕನನಡ ಮವ	Positive
ಬಸ ಮನಯ ಕಲ ಆಗದ ಇರ ಶದರ ಮಏ ಪರಚಕಟವ ನನದಕ ನವ ಟಲ ಕಡಸಕಲಲ ನನದಗರ ನಮ ಕರನಟಕ ಡಲಲ ಯವಗ ಗಟಲಲ ಇನನ ಓದರ ಸಟಟ	Negative
ತಪಪ ತಪಪ ತಗರ ತಪಪ	unknown state
ಎಲಲ ಪಲಟಕಸ ಜಸತ ಆಡ ಬಲಯಕಕ ಬಡಲಲ ಹಟ ಕರಚ ಪಡಥರ	Negative
ಹಲಗಶ ಸ ಸತ ಹ	not-Kannada
ಸಪರ ರಕಷತ ಶಟ	unknown state
ಅಭನಯ ಚಕರವರತ ಕರನಡ ಕನಮಣ ಅಭನಯ ಭರಗವಕನನಡ ಕಲ ಕಸಮಕರನಡ ಸಹಬದಷ ಕಚಚ ಸದಪ ಅಣಣನ ಅಭಮನಗಳದ ಸನಮ ಶತದನತಸವ ಆಚರಸಲ	Positive
ಶಶಕಲ ಬ ಹಡ ಮಮ ಇಗ	Negative
ಹಲ ಫರ ನನ ಮಗಗ ಮನ ಮರಯದ ಇಲಲ ಅಣಣ ಇಲಲ ಏನ ಆಗದಯತ ಯನ ಭರತಚನ ಫಸಟ ಕಳ ಅಣಣ ನಮ ದಶಕಕ ದರಹ ಬಗಗ ದರಹಯನನ ಅಣಣ ಇನನ ಸವಲಪ ಚನನಗ ಉಗರ ಅವನಗ	Negative
ವಪ ಸರ ಸಪರ ಸಗಗ	not-Kannada
ಗತ 5 ಬರ	unknown state
ಹಡಸಪ ಇದ ಚರತರ ಸಷಸ ಅವತರ	Positive
ರವಚದರನ ವಷಣವರಧ ರಜಕಮರ ಶಕರ ನಗ ಎಲರನ ಒಡ ಸರ ನಡದನಗಯತ	Positive
ನಮಮ ದಶದಲಲ ರಜಕಯ ದಲಲ ಗಲಲಲ ದಡಡ ಬಕಗಲಲ ಪಕಸತನ ಅಥವ ಇಸಲ ಮಲ ಅವಜ ಹಕದರ ಅವನಗ ಪರಧನ ಪಟಟ ಕಡತತರನ ನಮಮ ಮರಗ ಮಸಲಮನರನನ ಸಯ ಸದ ಅಭವದಧ	Negative
ಹಯಡಸ ಉಪ 308ಕ ಲಕಸ ನಬಲಗಡದ 308ಕ ಲಕಸ	Positive
ಹಮಮ ಆಗತಟ ಸರ ನವ ನಜಕಕ ಗರಟ	Positive
ಏನ ಮಯಸಕ ಕಟಟದಯ ಗರನಮ ಸರಎನದರ ಟ ಲರಕಸ	Positive
ಸಪರ ನಮದ ಥಪಪ ಎಲಲ ಕರಕಟ ಅಗ ಹಲದರ	Positive
ಸಗ ವರತ ಕಹಲ ಮದ ಜ ಗ ಪರಜಕಟ ಮಚ ಅಕಗತನಆಸನ ರಕಷತ ಅನನ	unknown state
ಕನನಡ ಭಷ ಸನಮ ಯವದಕಕ ಕಡಮ ಇಲಲ ಎದ ನಮಮ ಸನಮದ ಮಲಕ ಗತತಗತತದ	Positive
ಚದನ ಶಟಟ ಟರಲ ವಡಯ ನವ ನಡ ನಗಡಡ ನವ ಗಯರಟ	Positive
ಯಕ ಡಸಲಕ ಮಡತರ ಮರ ಆಡಡಕಟಡ	Positive
ಕನನಡ ಪರಮಶನ ಬಡ ಕನನದಗರ ನಮಮನ ಗಲಲಸತರ	Positive
ಕಥ ಸರಯಗ ತಳದಕಳಳ ಪಲಸ ಡನತ ವರನಗ ಗಯಡ ಅಶವತತಮ ಶವನ ಅವತರ ಇದರನಲಲ ಸಳಳ ಹಳದಕಕಗ ಭಮಯಲಲ ದರಘ ಕಲ ಯಗ ಅವತರಡದರ ಅಷಟ ಕಷಣ ಅವರಗ ಶಪಸಲಲಲ	Mixed feelings
